,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,6,5,5,8,7,12,8,6,9,20,9,11,11,15,9,7
距離適性,63,64,58,99,98,54,75,70,65,60,83,90,61,57,61,95
脚質,110,108,84,87,83,79,36,95,7,6,8,83,16,32,86,38
成長,70,48,76,81,93,49,78,66,77,46,88,85,53,43,44,83
馬場適性,61,54,62,51,57,45,45,71,28,46,28,49,42,24,64,67
総合評価,4.28,4.31,3.58,3.55,3.88,3.1,3.92,3.5,3.36,3.59,3.75,3.38,3.3,3.39,3.7,3.5
実績評価,4.28,4.31,3.58,3.55,3.88,3.1,3.92,3.5,3.36,3.59,3.75,3.38,3.3,3.39,3.7,3.5
ポテンシャル評価,4.26,4.38,3.42,3.55,3.97,3.1,4.0,3.33,3.64,3.45,3.81,3.5,3.2,3.28,3.58,3.6
前走成績,10,7,17,10,11,16,7,13,10,10,9,12,16,17,5,中
前々走成績,9,1,2,3,10,1,17,14,13,12,12,12,6,16,15,1
前々前走成績,13,4,3,7,7,4,1,7,9,14,2,9,8,16,15,1
前走オッズ,15.6,3.2,20.6,71.8,24.6,27.4,9.4,6.6,31.6,89.9,31.0,77.3,102.2,78.4,49.2,13.5
前々走オッズ,5.5,3.4,7.2,54.3,50.9,3.6,33.2,23.2,356.2,123.9,7.0,471.1,36.8,30.7,14.9,19.2
前々前走オッズ,12.1,2.8,32.0,28.7,118.3,6.8,4.6,5.4,15.9,131.5,20.3,135.4,11.6,31.0,5.4,3.7
